doc,our_query_id,label,,,,,,
Doc?,Q1,1,,,,,Q1,russian war dictator
Doc_240,Q1,1,,,,,Q2,fascist accusation in russia ukraine war
Doc_666,Q1,1,,,,,Q3,international support ukraine war
Doc_1495,Q1,1,,,,,Q4,ukrania russia war death updates
Doc_1766,Q1,1,,,,,Q5,russia urkrania war bomb explosion
Doc_1862,Q1,1,,,,,,
Doc_1941,Q1,1,,,,,,
Doc_2674,Q1,1,,,,,,
Doc_2963,Q1,1,,,,,,
Doc_3213,Q1,1,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q1,0,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,1,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q2,0,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,1,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
,Q3,0,,,,,,
Doc_214,Q4,1,,,,,,
Doc_1100,Q4,1,,,,,,
Doc_1713,Q4,1,,,,,,
Doc_2844,Q4,1,,,,,,
Doc_67,Q4,1,,,,,,
Doc_407,Q4,1,,,,,,
Doc_780,Q4,1,,,,,,
Doc_860,Q4,1,,,,,,
Doc_879,Q4,1,,,,,,
Doc_908,Q4,1,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
,Q4,0,,,,,,
Doc_1578,Q5,1,,,,,,
Doc_1690,Q5,1,,,,,,
Doc_1829,Q5,1,,,,,,
Doc_2013,Q5,1,,,,,,
Doc_2030,Q5,1,,,,,,
Doc_2042,Q5,1,,,,,,
Doc_2043,Q5,1,,,,,,
Doc_2059,Q5,1,,,,,,
Doc_2069,Q5,1,,,,,,
Doc_2070,Q5,1,,,,,,
Doc_2322,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
,Q5,0,,,,,,
